tenure_months,monthly_spend,support_calls,promo_eligible,debt_ratio,age,is_international,churn
4.0,110.99764587902531,,1.0,0.2706996464074561,59.0,1.0,0
55.0,92.2827365186029,6.0,1.0,0.2734147706387941,40.0,0.0,0
20.0,92.71699536657968,9.0,1.0,0.09870814382160306,52.0,1.0,1
41.0,67.28116031920686,6.0,1.0,0.37425054288783416,33.0,0.0,0
45.0,85.91534752570278,1.0,1.0,0.5965946639410438,47.0,1.0,0
61.0,66.62493845404187,0.0,1.0,0.22487469572179106,24.0,0.0,0
68.0,106.85139967097628,3.0,1.0,0.07854356944153655,34.0,0.0,0
61.0,108.15723732393604,3.0,1.0,0.2352872112374304,45.0,0.0,0
33.0,96.9653750590861,2.0,0.0,,80.0,1.0,0
26.0,68.37400395231418,8.0,0.0,0.2646991831164972,39.0,0.0,1
34.0,92.45903291493929,,1.0,0.22705177407821986,21.0,1.0,0
32.0,75.77252497256234,,1.0,0.2976820859666612,73.0,1.0,1
24.0,107.14058123529011,4.0,0.0,0.31623653843171706,28.0,1.0,0
21.0,80.7991228298924,5.0,0.0,0.42307931860831,45.0,1.0,1
24.0,74.57555318507104,8.0,0.0,0.17643627906226636,26.0,1.0,0
58.0,121.6936212484464,9.0,0.0,0.16483585402872303,64.0,0.0,1
22.0,71.64314894363989,11.0,0.0,0.10172582603270801,74.0,0.0,1
35.0,86.36737770859351,0.0,0.0,0.603002428634695,32.0,0.0,1
12.0,122.7947655590117,3.0,0.0,0.08264030995527923,21.0,0.0,0
40.0,20.373272800249865,11.0,1.0,0.2559584693228147,66.0,1.0,1
67.0,55.621945295687254,4.0,1.0,0.3285119859335446,60.0,1.0,0
34.0,87.68938516640215,0.0,0.0,0.183932796796832,59.0,0.0,0
29.0,105.17656065253111,5.0,0.0,0.21660732724950119,63.0,0.0,0
18.0,72.15419760927642,8.0,0.0,0.2994551895115864,37.0,1.0,1
20.0,107.12531391617605,1.0,0.0,0.1696367858738362,70.0,1.0,0
70.0,110.3094047072721,7.0,0.0,0.47720693055769425,34.0,1.0,1
,99.7161908177168,7.0,0.0,0.536725736709978,75.0,0.0,1
39.0,42.19881922756676,3.0,0.0,0.11503418616512517,58.0,0.0,1
33.0,64.1469113575772,3.0,1.0,0.20257311142188109,79.0,1.0,0
69.0,60.07970679532848,2.0,1.0,0.1773951886585204,54.0,,0
31.0,39.43188285384443,0.0,0.0,0.08922510637049033,58.0,1.0,0
16.0,23.13321871274499,9.0,0.0,0.4607797110289149,64.0,0.0,1
34.0,172.8360382614805,3.0,1.0,0.06488027134945881,60.0,0.0,0
64.0,93.15027669019221,8.0,1.0,0.3454149345876493,77.0,0.0,1
17.0,76.50008417884192,5.0,0.0,0.23012014171844633,56.0,1.0,1
23.0,104.43485809723484,2.0,0.0,0.5587701535280178,63.0,0.0,0
47.0,71.36393050511549,4.0,0.0,0.1731071424082744,71.0,0.0,0
23.0,108.15547868210787,1.0,0.0,,45.0,1.0,0
0.0,78.38938913593272,1.0,0.0,0.28212456767060273,67.0,0.0,0
51.0,102.79136135296702,1.0,0.0,0.051274198919595844,80.0,1.0,0
47.0,90.53911401111193,2.0,0.0,0.3413461302965134,45.0,0.0,1
54.0,50.52093190841958,7.0,0.0,0.31118592752951296,26.0,1.0,1
62.0,95.600418196066,4.0,1.0,0.21324357943089173,42.0,0.0,0
69.0,101.26218231358385,2.0,0.0,0.49706276674857536,71.0,1.0,0
3.0,95.81638198955524,11.0,1.0,0.23568850515630588,42.0,1.0,0
68.0,134.45435825508156,0.0,0.0,0.13289138676842163,55.0,1.0,0
54.0,130.43907377996982,7.0,,0.2872718973955408,23.0,0.0,0
67.0,105.4631365242614,5.0,0.0,0.5576933387675191,73.0,1.0,1
25.0,,0.0,1.0,0.15892921348166447,52.0,0.0,0
45.0,93.33981029356065,3.0,0.0,0.21262691882571005,78.0,0.0,1
69.0,80.34670967330496,1.0,1.0,0.5133550051821475,65.0,1.0,0
28.0,46.377226080696815,3.0,1.0,0.19674682881153438,53.0,1.0,0
68.0,93.12075196244258,4.0,1.0,0.0801022951139059,36.0,0.0,0
10.0,78.32217730867377,7.0,1.0,0.32760196491209936,73.0,0.0,1
19.0,114.41657229508671,10.0,1.0,0.03423806583868867,69.0,1.0,1
27.0,77.04109343734525,9.0,0.0,0.1095242000385386,76.0,0.0,1
68.0,122.7147683428869,7.0,1.0,0.041372513433694795,79.0,0.0,1
22.0,36.32947933446251,7.0,1.0,0.2130011375350704,64.0,0.0,0
46.0,66.14371861257612,8.0,1.0,0.35917368865707594,67.0,1.0,0
,112.7021013632393,8.0,1.0,0.3344019397187003,33.0,1.0,0
14.0,89.70570859034935,3.0,1.0,0.30052095581333027,51.0,1.0,0
40.0,,3.0,,0.19041632740415382,63.0,0.0,0
39.0,121.93130999572176,11.0,1.0,0.1645703979139006,55.0,0.0,1
7.0,115.87696157906484,0.0,0.0,0.3022747760883375,48.0,1.0,0
19.0,101.82206052725091,2.0,0.0,0.36730638523854225,29.0,0.0,0
34.0,90.24377550914028,9.0,0.0,0.2608743745057571,63.0,1.0,1
49.0,68.4074372554606,3.0,0.0,0.18581759307737244,33.0,0.0,0
60.0,67.91681611621014,11.0,0.0,0.47757312916644973,40.0,1.0,1
46.0,82.14120237377142,5.0,0.0,0.2878800831598909,51.0,1.0,1
47.0,114.04325290604645,0.0,1.0,0.199283655245361,45.0,1.0,0
11.0,126.0010576125203,11.0,1.0,0.2901102925086167,21.0,1.0,1
4.0,109.3591274969567,11.0,1.0,0.21796031014236908,69.0,1.0,1
66.0,119.05585485205222,7.0,1.0,0.530956896867152,42.0,,0
6.0,107.08425900731392,7.0,0.0,0.49399410386932274,54.0,0.0,0
71.0,91.17005480454212,3.0,1.0,,62.0,1.0,0
12.0,147.54710579272395,1.0,1.0,0.4936280287090324,54.0,1.0,0
33.0,58.218384910510196,6.0,1.0,0.7225379673741313,69.0,0.0,1
59.0,125.31537901645419,6.0,0.0,0.21460402213564647,72.0,1.0,0
26.0,91.02687865268368,3.0,0.0,0.12255590193042355,67.0,1.0,0
71.0,88.54924550653054,0.0,1.0,0.3828402145573452,70.0,1.0,0
,72.94098245053522,7.0,0.0,0.15854543458805134,27.0,1.0,0
29.0,77.4037753549088,1.0,1.0,0.6903021696203734,59.0,1.0,0
45.0,110.79857491538355,6.0,1.0,0.1518144115118278,54.0,1.0,0
71.0,112.18109705263674,7.0,0.0,0.2550213443289563,39.0,1.0,0
39.0,29.55126391159513,11.0,1.0,0.08121558145864165,54.0,1.0,0
61.0,79.50855929958924,11.0,0.0,0.17227038621351276,74.0,0.0,1
8.0,65.46081489319064,0.0,1.0,0.18533540690962502,76.0,1.0,0
11.0,44.03021245283434,5.0,0.0,0.27537594328546705,72.0,0.0,0
21.0,109.0837371149175,2.0,1.0,0.5326814306182742,78.0,1.0,0
53.0,70.22438516726102,11.0,0.0,0.07619871054047725,46.0,0.0,0
14.0,83.58455587813708,5.0,1.0,0.22759600470794192,64.0,0.0,0
43.0,84.18664393353211,9.0,0.0,0.14185917756861463,26.0,1.0,1
58.0,109.23962810903495,8.0,1.0,,58.0,1.0,1
39.0,134.86630763706336,0.0,0.0,0.4074305699510818,20.0,1.0,0
64.0,69.23280381259303,5.0,0.0,0.39723491161286956,48.0,0.0,0
47.0,111.75964159352378,,1.0,0.008422282453925753,24.0,0.0,0
3.0,134.12949708033716,6.0,1.0,0.30134937173225035,18.0,1.0,1
70.0,76.90001774650045,4.0,0.0,0.2333874557081436,18.0,0.0,0
52.0,86.7732834628653,7.0,0.0,0.15675327364264519,45.0,1.0,0
13.0,109.95795445172993,10.0,1.0,0.38906861985335695,35.0,1.0,1
57.0,84.54933451373012,10.0,0.0,0.21354358883291144,22.0,0.0,0
68.0,53.64019656608634,6.0,1.0,0.5335091513577094,47.0,0.0,1
57.0,104.64218148070665,6.0,0.0,0.21891906601848862,45.0,0.0,0
24.0,94.2329542343229,1.0,0.0,0.06274093850895182,30.0,0.0,0
65.0,55.33978729902102,1.0,1.0,0.5597972084524783,53.0,0.0,0
55.0,84.86793602532289,2.0,1.0,0.2499881142572636,54.0,1.0,0
42.0,66.03546404518926,9.0,0.0,0.23985257262847878,67.0,0.0,0
20.0,45.00209730714026,8.0,0.0,0.0040930987147699905,51.0,1.0,1
13.0,49.88353415219216,8.0,1.0,0.2582246587197341,69.0,0.0,1
17.0,48.55443009682159,,1.0,0.24122372710626255,46.0,1.0,0
10.0,82.83666896534508,2.0,1.0,0.18504024322062962,72.0,1.0,0
4.0,113.71985061498937,0.0,0.0,0.4685066062423721,,0.0,1
44.0,101.53606223570962,2.0,1.0,0.1192914988395484,68.0,1.0,0
48.0,117.80534884796182,6.0,1.0,0.3797040632144271,51.0,0.0,1
27.0,46.37657932680965,9.0,1.0,0.12017787954122969,77.0,0.0,0
26.0,59.272356735566476,,1.0,0.21235109038122954,65.0,0.0,0
6.0,65.71166185173648,4.0,1.0,0.11591276980716424,34.0,0.0,0
30.0,121.56308611454192,3.0,1.0,,76.0,1.0,0
35.0,103.86525774859578,7.0,1.0,0.08996266626493228,34.0,1.0,0
71.0,39.866817853763,2.0,1.0,0.28250500623386016,77.0,0.0,0
0.0,48.277870089040974,0.0,1.0,0.14801035743268784,44.0,0.0,0
22.0,33.55185884007019,1.0,0.0,0.48852153369514156,42.0,1.0,0
66.0,122.28860746814198,0.0,0.0,0.21047840922102362,36.0,1.0,0
59.0,112.18047481764002,0.0,1.0,0.1988202306300643,51.0,1.0,0
40.0,70.24961467051237,7.0,0.0,0.3374451170979119,18.0,0.0,0
39.0,66.71595523721537,10.0,0.0,0.43580864373079276,26.0,1.0,1
35.0,70.9612297308728,3.0,0.0,0.46540004268221985,29.0,1.0,0
9.0,89.48394557443814,8.0,0.0,0.2690528314399941,64.0,1.0,0
29.0,114.28716275780526,5.0,1.0,0.4797540627804847,42.0,1.0,1
17.0,72.76635002515857,10.0,1.0,0.062303339014685245,41.0,0.0,0
1.0,103.02583603260791,10.0,0.0,0.3005853886408659,46.0,0.0,1
7.0,91.49159797992725,11.0,1.0,0.10333970354420238,74.0,1.0,1
9.0,122.58782343464668,9.0,0.0,0.059504040094745456,72.0,0.0,1
17.0,63.24295901453661,8.0,1.0,0.3251073634981482,36.0,0.0,0
64.0,100.24349460041664,9.0,1.0,0.5368118950846037,56.0,0.0,0
63.0,96.33490535216295,8.0,0.0,0.43320627251321875,69.0,0.0,1
47.0,50.577115830499686,10.0,0.0,0.19063814036388282,71.0,0.0,0
58.0,38.8911659025219,0.0,0.0,0.3268920784191469,50.0,0.0,0
35.0,90.46083027031926,,0.0,0.4672503809668438,25.0,1.0,1
41.0,71.45288826458388,7.0,0.0,0.1933235201725967,20.0,0.0,0
4.0,99.59419951578572,7.0,0.0,0.5741744962070071,31.0,0.0,1
19.0,97.06373267228935,5.0,0.0,0.2624338670299214,,1.0,1
23.0,123.84869148925537,3.0,0.0,0.1281091413725658,47.0,0.0,0
47.0,84.16390867041842,5.0,0.0,0.09914689348273396,66.0,1.0,0
26.0,67.77369493475531,5.0,1.0,0.18064263293773225,26.0,0.0,0
46.0,130.17794740887675,2.0,0.0,0.48224564741827425,70.0,0.0,0
62.0,131.0514349437474,11.0,0.0,0.22514686666748218,26.0,0.0,0
43.0,81.01844660342084,1.0,0.0,0.09736816678653394,49.0,1.0,0
47.0,63.459140001851225,,1.0,0.05664809446788346,67.0,0.0,0
0.0,108.83393793872872,10.0,0.0,0.5955792491456938,34.0,0.0,1
16.0,109.90675344063996,3.0,1.0,0.5174242004867861,28.0,0.0,0
21.0,28.545009069085268,11.0,1.0,0.18649097594479383,65.0,1.0,1
15.0,87.60827826083882,4.0,1.0,0.612898357766751,53.0,0.0,0
32.0,27.578497635022238,5.0,0.0,0.41610186205392163,62.0,1.0,1
39.0,64.97424513525539,5.0,1.0,0.053682144675201986,26.0,1.0,0
52.0,54.52516464138699,10.0,,0.8730939525414653,21.0,1.0,1
23.0,90.68418953420786,10.0,0.0,0.5050074200827025,65.0,1.0,1
40.0,13.833660519775634,1.0,0.0,0.11103282027440638,39.0,1.0,0
46.0,100.50465200400274,3.0,0.0,0.48946766759582105,47.0,1.0,1
25.0,87.66572352962443,0.0,0.0,0.20624293425224602,23.0,0.0,0
45.0,75.81358960170662,10.0,1.0,0.40188923561223194,59.0,1.0,0
58.0,111.84318286752703,8.0,0.0,0.062435531815743114,53.0,1.0,1
21.0,141.25113775498812,3.0,0.0,0.1920267895334558,76.0,1.0,1
33.0,30.496203667024695,2.0,1.0,0.36398147446998463,52.0,0.0,0
48.0,118.48697991766849,8.0,0.0,0.41027205940819234,46.0,0.0,1
37.0,129.26664323669738,8.0,1.0,0.5052071817079316,19.0,1.0,0
13.0,62.8905844316313,3.0,1.0,0.5236892916424445,63.0,0.0,0
48.0,84.46413143470375,6.0,0.0,0.1102810845672549,69.0,,0
22.0,58.613334928727994,2.0,0.0,0.22238411003430356,45.0,0.0,0
18.0,92.42262181437904,5.0,1.0,0.2299766884652869,37.0,1.0,0
52.0,97.41750314184432,7.0,1.0,0.11508383120744305,38.0,1.0,0
40.0,26.32244165643133,5.0,0.0,0.33046646741515,62.0,0.0,0
6.0,83.96257034793753,4.0,0.0,0.122430981213762,77.0,1.0,0
4.0,104.10742760882626,9.0,0.0,0.3843474792816192,26.0,1.0,1
53.0,36.18592172657376,2.0,1.0,0.15205145685508975,58.0,1.0,0
17.0,71.51664112090026,3.0,1.0,0.23059211192914625,44.0,1.0,0
56.0,93.02405292694183,5.0,1.0,0.38610682837922206,55.0,1.0,0
48.0,101.55624115544363,5.0,0.0,0.21454113638244288,70.0,0.0,1
42.0,148.4688923091645,1.0,1.0,0.6027628433574622,22.0,0.0,0
69.0,84.91420410959418,10.0,0.0,0.3247966577220069,33.0,0.0,1
39.0,108.71228888405268,9.0,0.0,0.10618636526020929,43.0,1.0,1
26.0,88.6077076279085,4.0,0.0,0.23295285040834826,46.0,,1
2.0,82.56680988159752,11.0,0.0,0.12953405877782243,53.0,1.0,1
39.0,130.16141940866703,11.0,1.0,0.2625927344360347,76.0,0.0,0
62.0,33.62561962771205,11.0,1.0,0.38194091646206874,68.0,1.0,1
37.0,78.04135532708142,3.0,1.0,0.17144030318398554,19.0,1.0,0
37.0,70.18801294541512,5.0,1.0,0.5922545653987149,58.0,0.0,0
25.0,60.78450412170339,7.0,0.0,0.2084932960307796,35.0,1.0,1
67.0,99.16262480705223,1.0,0.0,0.34953445457799354,56.0,1.0,0
44.0,95.40291288979614,11.0,1.0,0.2998044040182816,33.0,1.0,1
5.0,,0.0,1.0,0.4619493368011438,19.0,1.0,0
42.0,126.0972319247284,3.0,0.0,0.1745085916833367,70.0,0.0,0
28.0,45.28223309349338,10.0,0.0,0.4459583556712722,46.0,1.0,1
13.0,94.01701050163324,3.0,1.0,0.3603283889839918,69.0,0.0,0
64.0,83.98089027567461,2.0,1.0,0.2633643360095757,78.0,0.0,0
7.0,104.65463475301031,5.0,1.0,0.060181004845031166,71.0,0.0,0
38.0,85.88497238817021,0.0,1.0,0.2878824661057372,62.0,1.0,0
28.0,80.37791815563398,5.0,0.0,0.35464273180345807,65.0,0.0,1
0.0,84.13319905752402,2.0,1.0,0.11456570979263264,19.0,1.0,0
23.0,128.1417399692872,,0.0,0.26971690684382504,46.0,0.0,0
9.0,103.8788164824185,5.0,1.0,0.6533695835065546,78.0,1.0,0
36.0,92.01926199507594,9.0,0.0,0.16654671394395218,73.0,0.0,0
60.0,151.15680167710468,7.0,0.0,0.4573124867365525,42.0,0.0,1
15.0,72.40396374251657,0.0,0.0,0.6887619471489959,53.0,0.0,0
14.0,108.55924451665051,2.0,1.0,0.03690015410548725,43.0,1.0,0
71.0,83.08319364054542,2.0,0.0,0.3242446351478933,60.0,0.0,1
25.0,61.284839176379705,3.0,0.0,0.3770422746347885,52.0,1.0,1
23.0,10.0,1.0,1.0,0.561753943867705,65.0,1.0,0
16.0,89.6405578228512,4.0,1.0,0.5410478524666167,35.0,1.0,0
44.0,90.48758938454165,0.0,1.0,0.13285137949211284,18.0,0.0,0
49.0,,11.0,,0.3616173084974316,73.0,0.0,1
29.0,77.2455695911601,,1.0,0.27387923338741244,18.0,0.0,0
32.0,48.49783891978483,4.0,1.0,0.3292228381238469,64.0,0.0,0
4.0,78.0457041455685,7.0,0.0,0.18043510163057383,61.0,0.0,1
67.0,69.01000391841266,,1.0,0.18728399437379056,41.0,1.0,1
62.0,111.10032146701653,1.0,1.0,0.31464778609596133,60.0,1.0,0
12.0,57.70221272832073,5.0,0.0,0.1914692880108494,37.0,0.0,0
27.0,71.87220235634697,6.0,1.0,0.2579455111644642,36.0,1.0,0
35.0,114.09281424133366,7.0,1.0,0.39186448991271955,35.0,0.0,0
25.0,63.39572561318967,11.0,1.0,0.40083313442690066,73.0,0.0,1
40.0,59.87447479176903,9.0,1.0,,31.0,0.0,0
1.0,,2.0,1.0,0.22699589395346956,26.0,0.0,0
49.0,78.28588123595927,5.0,0.0,0.28817712964760894,59.0,1.0,0
40.0,71.09767553357983,0.0,1.0,0.3124058944395605,42.0,1.0,0
6.0,78.11383989634056,0.0,1.0,0.05969312540284353,54.0,0.0,0
69.0,104.43590984089192,7.0,1.0,0.12696193480360873,28.0,1.0,1
4.0,110.14343944034448,5.0,0.0,0.19852419380477107,49.0,0.0,0
67.0,57.17101168780782,10.0,0.0,0.3117961096861979,32.0,,0
0.0,62.06255229410252,11.0,1.0,0.6149841774366658,80.0,1.0,1
14.0,70.53496097939312,4.0,0.0,0.5689414754458513,23.0,0.0,0
59.0,84.84179425640599,0.0,0.0,0.20307954829993038,41.0,0.0,0
48.0,106.37472788775793,8.0,1.0,0.01898097252353311,51.0,1.0,0
32.0,148.4293953955875,0.0,1.0,0.38874791724197505,45.0,1.0,0
58.0,31.529826991804434,7.0,0.0,0.17384032093250018,74.0,0.0,0
6.0,107.78145712182899,11.0,1.0,0.7120116210038675,47.0,0.0,1
,116.64926951675886,6.0,1.0,0.2748975707602509,66.0,1.0,1
32.0,65.77198527330773,7.0,0.0,0.10692015346550418,58.0,1.0,1
49.0,126.84478037425731,7.0,0.0,0.07668612283271953,33.0,0.0,1
49.0,91.78641151356781,2.0,0.0,0.5334433556265638,22.0,0.0,0
7.0,113.59315902918678,4.0,0.0,0.22441445725395193,76.0,1.0,0
37.0,64.07887226214996,10.0,0.0,0.08614252446768494,52.0,1.0,1
21.0,54.71245856560108,3.0,0.0,0.10059436132427475,58.0,0.0,0
57.0,75.14345829401286,6.0,1.0,0.22698873380251736,51.0,0.0,0
49.0,107.15098693449207,0.0,0.0,0.15563864807024705,76.0,,0
9.0,56.093629032021184,9.0,1.0,0.29496194262250375,73.0,1.0,1
34.0,59.1578283058855,11.0,0.0,0.06818135075757134,57.0,1.0,1
39.0,103.72879074014843,3.0,0.0,0.44794437956015815,34.0,0.0,0
50.0,87.8192333005597,5.0,1.0,0.2515962578466724,64.0,0.0,0
68.0,74.63994220528667,11.0,1.0,0.26815470704578703,66.0,1.0,0
32.0,152.82432582310747,4.0,1.0,0.207837869827727,64.0,0.0,0
19.0,135.09771657051604,11.0,1.0,0.3957459757591355,33.0,0.0,1
22.0,32.57494708035902,3.0,0.0,0.27650499785697424,63.0,0.0,0
31.0,63.403197624721834,9.0,0.0,0.22547639784006984,67.0,1.0,1
47.0,83.89062702338258,3.0,0.0,0.22303672026412896,29.0,0.0,0
28.0,33.03690194693261,10.0,1.0,0.26520846198659087,59.0,1.0,0
13.0,111.3179144907607,1.0,0.0,0.2957397048723476,62.0,0.0,1
32.0,84.08806920376797,7.0,1.0,,38.0,0.0,1
4.0,60.11813356082125,10.0,0.0,0.1586005493788615,78.0,1.0,1
13.0,55.860030037303666,8.0,0.0,0.2742930214723627,55.0,0.0,1
23.0,106.44024804621861,11.0,0.0,0.20861453382804673,60.0,0.0,0
46.0,10.0,5.0,1.0,0.3723011307796323,61.0,1.0,1
69.0,91.51977822290198,1.0,0.0,0.7720381777117535,39.0,1.0,0
25.0,96.51008071271455,0.0,0.0,0.40083701268566274,21.0,0.0,0
40.0,24.040249523092,2.0,1.0,0.1991036469195954,48.0,1.0,0
63.0,62.15950283298721,5.0,1.0,0.04046166603394877,69.0,0.0,1
,81.36146508535906,10.0,0.0,0.36491767531365554,40.0,1.0,1
68.0,105.46929237550282,5.0,0.0,0.46072704957775085,60.0,1.0,0
19.0,97.5545127657095,4.0,1.0,0.09656015697503234,37.0,1.0,0
,29.19222731998569,4.0,1.0,0.3986111653871594,69.0,1.0,0
32.0,60.07701958241802,10.0,0.0,0.15235585537067864,71.0,0.0,1
15.0,102.74963535801572,8.0,0.0,0.14372051296042898,49.0,0.0,0
15.0,108.86759787690184,1.0,1.0,0.11317124564151998,59.0,1.0,0
66.0,74.86933124525272,10.0,0.0,0.5794808830111893,23.0,0.0,1
55.0,39.08580513541214,6.0,1.0,0.3630144235569511,29.0,1.0,0
35.0,114.3458088391053,3.0,0.0,0.22950605313061415,25.0,1.0,0
19.0,73.55794003199921,2.0,0.0,0.2576862547750835,76.0,0.0,1
17.0,84.54445566374338,4.0,0.0,0.5332522033489207,44.0,1.0,1
2.0,116.91912960191391,3.0,0.0,0.5949137270072493,43.0,0.0,0
26.0,,10.0,0.0,0.28137113201032865,19.0,1.0,1
50.0,90.88843891099364,5.0,1.0,0.1031973890241913,41.0,0.0,0
31.0,86.03633109928276,8.0,0.0,,54.0,1.0,1
27.0,49.05176760983488,0.0,0.0,0.39234019767234535,47.0,0.0,0
69.0,41.53152735331707,8.0,1.0,0.08859292796802543,38.0,1.0,0
15.0,81.43644146939296,8.0,1.0,0.19314541525251885,60.0,1.0,0
66.0,80.91142744017452,0.0,1.0,0.18676339784563198,44.0,0.0,0
29.0,84.18613130897809,3.0,1.0,0.5242369244298646,63.0,0.0,0
26.0,120.07658909124979,7.0,1.0,0.4213648538398388,69.0,1.0,1
32.0,67.50164607422111,7.0,0.0,0.2468394115097616,29.0,0.0,0
45.0,100.45690513401449,2.0,1.0,0.4808986328586475,24.0,0.0,0
13.0,70.6098162585945,10.0,0.0,0.219698999897349,77.0,0.0,1
33.0,104.23535465551498,3.0,1.0,0.28018497489033095,54.0,0.0,0
,84.08313182588441,7.0,1.0,0.25547084344035953,33.0,1.0,0
8.0,101.68610181493172,6.0,1.0,0.19147969433521989,53.0,1.0,1
41.0,87.63041397996615,11.0,1.0,0.25036076154154385,22.0,1.0,0
